entity_id,display_name,archetype,archetype_label,delegation_source,incentive_alignment,exclude_from_baseline,confidence,reasoning,capital_class
EMURGO,Emurgo,ecosystem,Ecosystem Steward,Self-sovereign stake; commercial founding entity,mission,false,High,"Cardano founding entity, commercial arm. Declining pool fleet (48 registered, 11 active) with near-zero pledge on most pools — unusual for an ecosystem steward. Low margin (1.6%). Included in baseline but flagged as founding-entity stake.",sufficient
IOG,IOG,ecosystem,Ecosystem Steward,Self-sovereign stake; protocol developer,mission,false,High,"Input Output (protocol developer). Rapidly retiring legacy pools — from 0.72% in epoch 400 to 0.03% in epoch 618. High median pledge (64M), high margin (59.1%) reflects non-commercial operation. Treat as transitional; weight will approach zero.",insufficient
WAVE,Wave / Wavepool,independent_mpo,Independent MPO,Sovereign ADA holders choosing the operator,full,false,High,Community pool family with meaningful self-pledge (1M ADA median). Competitive margin (14.8%). Transparent brand and operations. Archetypal scaled-up SPO: grows by adding pools while maintaining pledge discipline.,sufficient
ONE_PERCENT,1PCT,independent_mpo,Independent MPO,Sovereign ADA holders choosing the operator,full,false,High,"Explicitly community-focused operator (name references 1% margin target). Low margin (1%), moderate pledge. Large fleet (30 active pools) with most stake in the healthy tier.",sufficient
BLOOM,Bloom,independent_mpo,Independent MPO,Sovereign ADA holders choosing the operator,full,false,High,Community pool family. Meaningful self-pledge (1M ADA median). Moderate margin (17.7%).,sufficient
OCEAN,AdaOcean,independent_mpo,Independent MPO,Sovereign ADA holders choosing the operator,full,false,High,Community pool family. Low pledge (10K median) but competitive margin (3.8%). Fully transparent.,sufficient
P2P,P2P,independent_mpo,Independent MPO,Sovereign ADA holders choosing the operator,full,false,High,Community operator with competitive margin (2.2%). Low self-pledge (1K median) limits pledge premium capture but otherwise fully aligned with incentive design.,sufficient
SPIRE,Spire,independent_mpo,Independent MPO,Sovereign ADA holders choosing the operator,full,false,High,Community operator with high margin (22.2%) and near-zero pledge. Declining stake — consistent with market pressure on high-margin low-pledge pools.,sufficient
CHUCK_BUX,CHUCK BUX,opaque,Opaque / Unresolved,Unknown,unknown,flag,Low,Unusual combination: 94% margin with 73M ADA median pledge. High margin is consistent with exchange-custody or whale self-service model; high pledge is inconsistent with CEX (which cannot pledge custodied funds). Attribution unresolved. Flag for manual review — exclude from pledge-coverage analyses due to extreme margin; include in stake-coverage analyses.,sufficient
BIGLAZY,BigLazyCat,independent_mpo,Independent MPO,Sovereign ADA holders choosing the operator,full,false,High,"Community operator. Low margin (0.7%), nominal self-pledge.",insufficient
AUTOSTAKE,AutoStake,independent_mpo,Independent MPO,Sovereign ADA holders choosing the operator,full,false,High,Community operator with 0% margin. Nominal self-pledge.,sufficient
RAID,RAID,independent_mpo,Independent MPO,Sovereign ADA holders choosing the operator,full,false,High,Community operator. Low margin.,insufficient
ROCKX,RockX,ivaas,Institutional Validator,Institutional client delegation via staking SaaS,partial,false,Medium,Asian institutional validator provider (RockX). Near-zero self-pledge.,insufficient
5BINARIES,nan,opaque_fleet,Opaque Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 6 pools identified, total stake 104,353,001 ADA. Community multi-pool operator pattern detected.",sufficient
ATADA,ATADA,multi_brand_fleet,Multi-Brand Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 4 pools identified, total stake 130,721,803 ADA. Community multi-pool operator pattern detected.",sufficient
WESTBERG,BCSH,community_branded_fleet,Community Branded Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 8 pools identified, total stake 69,299,224 ADA. Community multi-pool operator pattern detected.",insufficient
CRDNS,nan,multi_brand_fleet,Multi-Brand Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 9 pools identified, total stake 231,172,963 ADA. Community multi-pool operator pattern detected.",sufficient
ELITE,ELITE,community_branded_fleet,Community Branded Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 2 pools identified, total stake 31,889,412 ADA. Community multi-pool operator pattern detected.",insufficient
EDEN,EDEN,opaque_fleet,Opaque Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 5 pools identified, total stake 170,678,552 ADA. Community multi-pool operator pattern detected.",sufficient
HRMS,HRMS,community_branded_fleet,Community Branded Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 2 pools identified, total stake 44,270,100 ADA. Community multi-pool operator pattern detected.",insufficient
VIPER,VIPER,community_branded_fleet,Community Branded Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 2 pools identified, total stake 68,073,136 ADA. Community multi-pool operator pattern detected.",insufficient
SUNNY,SUNNY,community_branded_fleet,Community Branded Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 2 pools identified, total stake 45,310,588 ADA. Community multi-pool operator pattern detected.",insufficient
DAPP,DAPP,multi_brand_fleet,Multi-Brand Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 8 pools identified, total stake 141,154,273 ADA. Community multi-pool operator pattern detected.",sufficient
4ADA,4ADA,community_branded_fleet,Community Branded Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 2 pools identified, total stake 37,799,485 ADA. Community multi-pool operator pattern detected.",insufficient
KIWI,KIWI,community_branded_fleet,Community Branded Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 3 pools identified, total stake 40,599,989 ADA. Community multi-pool operator pattern detected.",insufficient
SPS,SPS,community_branded_fleet,Community Branded Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 5 pools identified, total stake 104,570,052 ADA. Community multi-pool operator pattern detected.",sufficient
XSP,XSP,community_branded_fleet,Community Branded Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 2 pools identified, total stake 67,060,961 ADA. Community multi-pool operator pattern detected.",insufficient
ACL,ACL,community_branded_fleet,Community Branded Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 4 pools identified, total stake 84,364,169 ADA. Community multi-pool operator pattern detected.",sufficient
COOL,COOL,multi_brand_fleet,Multi-Brand Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 6 pools identified, total stake 86,963,264 ADA. Community multi-pool operator pattern detected.",sufficient
DIGI,DIGI,opaque_fleet,Opaque Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 6 pools identified, total stake 170,858,244 ADA. Community multi-pool operator pattern detected.",sufficient
STI,STI,community_branded_fleet,Community Branded Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 3 pools identified, total stake 60,881,319 ADA. Community multi-pool operator pattern detected.",insufficient
SIPO,SIPO,community_branded_fleet,Community Branded Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 3 pools identified, total stake 114,413,999 ADA. Community multi-pool operator pattern detected.",sufficient
SNAKEPOOL_LINK,SNAKE,community_branded_fleet,Community Branded Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 2 pools identified, total stake 63,253,511 ADA. Community multi-pool operator pattern detected.",insufficient
ATLAS,ATLAS,community_branded_fleet,Community Branded Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 2 pools identified, total stake 48,578,138 ADA. Community multi-pool operator pattern detected.",insufficient
ONYX,ONYX,community_branded_fleet,Community Branded Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 4 pools identified, total stake 69,189,617 ADA. Community multi-pool operator pattern detected.",insufficient
ADV,ADV,community_branded_fleet,Community Branded Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 4 pools identified, total stake 263,220,039 ADA. Community multi-pool operator pattern detected.",sufficient
TITAN,TITAN,community_branded_fleet,Community Branded Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 2 pools identified, total stake 137,014,462 ADA. Community multi-pool operator pattern detected.",sufficient
ZETIC,ZETE,community_branded_fleet,Community Branded Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 2 pools identified, total stake 39,249,318 ADA. Community multi-pool operator pattern detected.",insufficient
SECUR,SECUR,community_branded_fleet,Community Branded Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 5 pools identified, total stake 234,393,577 ADA. Community multi-pool operator pattern detected.",sufficient
KAIZN,KAIZN,community_branded_fleet,Community Branded Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 4 pools identified, total stake 34,524,487 ADA. Community multi-pool operator pattern detected.",insufficient
ITC,FREE,multi_brand_fleet,Multi-Brand Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 5 pools identified, total stake 79,947,707 ADA. Community multi-pool operator pattern detected.",sufficient
JOY,HOPE,multi_brand_fleet,Multi-Brand Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 9 pools identified, total stake 78,637,822 ADA. Community multi-pool operator pattern detected.",sufficient
BMTXS_GITHUB_IO,RETIR,community_branded_fleet,Community Branded Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 3 pools identified, total stake 73,779,284 ADA. Community multi-pool operator pattern detected.",insufficient
ADASTRONG_COM,ADBV,community_branded_fleet,Community Branded Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 2 pools identified, total stake 37,837,754 ADA. Community multi-pool operator pattern detected.",insufficient
NORTH,NORTH,opaque_fleet,Opaque Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 5 pools identified, total stake 363,079,061 ADA. Community multi-pool operator pattern detected.",sufficient
WEP,ISP,multi_brand_fleet,Multi-Brand Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 6 pools identified, total stake 84,018,239 ADA. Community multi-pool operator pattern detected.",sufficient
BRAVO,BRAVO,community_branded_fleet,Community Branded Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 2 pools identified, total stake 68,269,546 ADA. Community multi-pool operator pattern detected.",insufficient
NEDS,NEDS1,community_branded_fleet,Community Branded Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 4 pools identified, total stake 120,691,624 ADA. Community multi-pool operator pattern detected.",sufficient
MS,MS4,community_branded_fleet,Community Branded Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 4 pools identified, total stake 155,741,163 ADA. Community multi-pool operator pattern detected.",sufficient
CAFE,CAFE,community_branded_fleet,Community Branded Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 3 pools identified, total stake 80,734,132 ADA. Community multi-pool operator pattern detected.",sufficient
HODLA,HODL₳,community_branded_fleet,Community Branded Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 2 pools identified, total stake 60,498,792 ADA. Community multi-pool operator pattern detected.",insufficient
CNODE,CNODE,community_branded_fleet,Community Branded Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 4 pools identified, total stake 61,273,588 ADA. Community multi-pool operator pattern detected.",insufficient
ECO,ECO,community_branded_fleet,Community Branded Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 2 pools identified, total stake 50,631,662 ADA. Community multi-pool operator pattern detected.",insufficient
FIMI,FIDA,multi_brand_fleet,Multi-Brand Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 9 pools identified, total stake 84,662,186 ADA. Community multi-pool operator pattern detected.",sufficient
TERA,TERA,community_branded_fleet,Community Branded Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 3 pools identified, total stake 52,889,328 ADA. Community multi-pool operator pattern detected.",insufficient
PAUL,PAUL1,community_branded_fleet,Community Branded Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 2 pools identified, total stake 91,566,947 ADA. Community multi-pool operator pattern detected.",sufficient
AWP,STSH1,community_branded_fleet,Community Branded Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 3 pools identified, total stake 47,479,873 ADA. Community multi-pool operator pattern detected.",insufficient
PILOT,PILOT,community_branded_fleet,Community Branded Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 2 pools identified, total stake 91,683,968 ADA. Community multi-pool operator pattern detected.",sufficient
DNEWS,DNEWS,protocol_project,Protocol/DeFi Project,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 2 pools identified, total stake 39,652,260 ADA. Community multi-pool operator pattern detected.",insufficient
RAY,XRAY1,protocol_project,Protocol/DeFi Project,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 8 pools identified, total stake 45,682,444 ADA. Community multi-pool operator pattern detected.",insufficient
AICHI,AICHI,community_branded_fleet,Community Branded Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 2 pools identified, total stake 123,506,624 ADA. Community multi-pool operator pattern detected.",sufficient
COFFEEPOOL_JP,COFFE,community_branded_fleet,Community Branded Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 2 pools identified, total stake 33,688,669 ADA. Community multi-pool operator pattern detected.",insufficient
IBEX,IBEX,protocol_project,Protocol/DeFi Project,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 3 pools identified, total stake 44,280,794 ADA. Community multi-pool operator pattern detected.",insufficient
KTO,nan,community_branded_fleet,Community Branded Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 10 pools identified, total stake 37,979,323 ADA. Community multi-pool operator pattern detected.",insufficient
LINKTR_EE,ADAOZ,community_branded_fleet,Community Branded Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 2 pools identified, total stake 58,185,922 ADA. Community multi-pool operator pattern detected.",insufficient
WAFFLEPOOL_ORG,nan,community_branded_fleet,Community Branded Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 2 pools identified, total stake 31,762,112 ADA. Community multi-pool operator pattern detected.",insufficient
NKR,NKR,community_branded_fleet,Community Branded Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 3 pools identified, total stake 36,129,780 ADA. Community multi-pool operator pattern detected.",insufficient
CCV,CCV,community_branded_fleet,Community Branded Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 5 pools identified, total stake 177,140,723 ADA. Community multi-pool operator pattern detected.",sufficient
MUEN,MUEN,community_branded_fleet,Community Branded Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 3 pools identified, total stake 34,156,256 ADA. Community multi-pool operator pattern detected.",insufficient
SASA,SASA,community_branded_fleet,Community Branded Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 2 pools identified, total stake 74,336,606 ADA. Community multi-pool operator pattern detected.",insufficient
STRIXJPN_GITHUB_IO,PNR39,community_branded_fleet,Community Branded Fleet,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 2 pools identified, total stake 66,037,193 ADA. Community multi-pool operator pattern detected.",insufficient
LIQWID,LQWD,protocol_project,Protocol/DeFi Project,Community delegators,full,false,Medium,"Automated discovery via pool group and reward address clustering. 2 pools identified, total stake 47,433,775 ADA. Community multi-pool operator pattern detected.",insufficient
