entity_id,display_name,category,visibility,confidence,claim_type,matched_pools,active_pools,current_stake_b_ada,current_pct_supply,epoch_400_pct_supply,epoch_410_pct_supply,epoch_584_pct_supply,evidence_basis
YUTA,YUTA,opaque_operational,Multi-brand operator cluster,Medium,Same managed cluster,29,25,0.465,1.21,2.00,1.94,1.28,"tickers ZZZ (1), ZZZ3 (1), ZZZ2 (1) | domains coinzzz.jp (5), tokyostaker.com (5) | Koios YUTA (29); AdaStat coinzzz.jp (5); BalanceAnalytics YUTA (29)"
CARDANO_FOUNDATION,Cardano Foundation,declared_brand,Open public brand,High,Same operator cluster,6,6,0.456,1.19,0.00,0.00,0.00,"tickers CF1 (1), CF2 (1), CF3 (1) | domains mainnet.pool.cardanofoundation.org (6) | Koios cardanofoundation.org (6); AdaStat cardanofoundation.org (6)"
NUFI,NuFi,provider_cluster,Open provider brand,High,Same provider cluster,24,18,0.313,0.81,1.14,1.97,0.88,"tickers NUFI (1), NUFI2 (1), NUFI3 (1) | domains pools-meta.nu.fi (21), tinyurl.com (2) | Koios ADALITE (18); AdaStat nu.fi (18); BalanceAnalytics ADALITE (18)"
EMURGO,Emurgo,declared_brand,Open public brand,High,Same operator cluster,48,11,0.271,0.70,1.30,1.43,0.74,"tickers EMUR5 (3), EMUR6 (2), SWIM (1) | domains pools.emurgo.io (18), swimmingpoolop.github.io (12) | Koios EMURGO (25); AdaStat swimmingpoolop.github.io (11); BalanceAnalytics EMURGO (24)"
ONE_PERCENT,1PCT,declared_brand,Open public brand,High,Same operator cluster,31,30,0.270,0.70,1.06,1.00,0.73,"tickers 1PCT (3), 1PCT1 (3), 1PCT2 (3) | domains www.1percentpool.eu (28), www.epicpool.eu (1) | Koios 1PCT (29); AdaStat 1percentpool.eu (28); BalanceAnalytics 1PCT (29)"
BLOOM,Bloom,declared_brand,Open public brand,High,Same operator cluster,12,7,0.220,0.57,0.73,0.73,0.59,"tickers BLOOM (8), IRISH (1), DARK (1) | domains bloompool.io (10), raw.githubusercontent.com (1) | Koios BLOOM (7); AdaStat bloompool.io (6); BalanceAnalytics BLOOM (7)"
OCEAN,AdaOcean,declared_brand,Open public brand,High,Same operator cluster,12,10,0.189,0.49,0.65,0.64,0.56,"tickers SAFE (1), OCEAN (1), OCEA2 (1) | domains adaocean.com (10), jolly-ocean-0bab2f303.azurestaticapps.net (1) | Koios OCEAN (8); AdaStat adaocean.com (8); BalanceAnalytics OCEAN (8)"
ADALITE_PLATFORM,Adalite platform cluster,platform_cluster,Platform-mediated cluster,Low-Medium,Not asserted as same legal entity,3,3,0.158,0.41,0.40,0.40,0.41,Koios ADALITE (3); BalanceAnalytics ADALITE (3)
P2P,P2P,declared_brand,Open public brand,High,Same operator cluster,10,6,0.098,0.25,0.16,0.14,0.38,"tickers P2P (2), K8S (1), PPCX1 (1) | domains cardano.p2p.org (5), k8s-pool.subnet.dev (1) | Koios P2P (6); AdaStat p2p.org (6); BalanceAnalytics P2P (3)"
SPIRE,Spire,declared_brand,Open public brand,High,Same operator cluster,24,5,0.096,0.25,0.21,0.21,0.23,"tickers SPIRE (1), SPIR2 (1), DJED1 (1) | domains www.spirestaking.com (13), data.spireblockchain.com (7) | Koios SPIRE (6); AdaStat anetabtc.io (4); BalanceAnalytics SPIRE (5)"
IOG,IOG,declared_brand,Open public brand,High,Same operator cluster,65,9,0.013,0.03,0.72,0.72,0.57,"tickers IOGP (34), IOG2 (2), IOHK (1) | domains pools.iohk.io (50), raw.githubusercontent.com (4) | Koios IOG (35); AdaStat iohk.io (34); BalanceAnalytics IOG (35)"
